,$- fb$,$+ fb$,$kb$,$k_1$,$k_3$,$k_5$,$s_1$,$k_2$,$k_4$,$k_6$,$d_1$,$K_{M1}$,$K_{M3}$,$K_{M5}$,$K_{M2}$,$K_{M4}$,$K_{M6}$
809,1149.4091705439796,46.495230453761714,391.35825131605526,0.18780354479785874,34.78727717810557,262.8742391802458,2192.6500177851635,516.4438713477409,0.014242916183697692,90.85019431657496,0.0005303875316558743,0.7244948825183813,2.607649859686526,7.607481785785306e-05,0.00024142550979941788,0.048879529136318475,0.9802082479664807
810,0.6231318654341825,135.47860597279865,8.886794945852756e-05,1.3655942082038264,894.4327293175887,668.4828114665643,1.6992832460836529,1.1773758003414265,0.005286116856972858,186.21189030254334,0.00010365099968350142,4188.874226670497,83.46697718358311,0.0036225420213103925,0.005545350360745061,0.005448254040088427,0.9113417264076012
811,0.7965612283480262,13.711287481637713,199.22993093030837,7.571681813116262,15.100799297803755,84.09062981685497,1.288788044787596,2.322913401741094,24.37600401550978,121.28804219663104,0.001404151234545863,6928.577081824481,0.7149137649611372,0.00023726458292662656,9.900053790136065e-05,100.394689956845,4.604006629719961
812,14.789554726654375,152.48430217183395,8.563044424970807e-05,310.9648503016346,0.8804049675104595,766.8768744396889,26.92495301281942,89.28866226860298,0.4998608629341719,9277.803838476813,8.657625323987017e-05,5715.605745983644,0.0010850522754707365,0.00010002601640846653,7.902578569763489e-05,1.8877909779460391,33.59978510924127
813,12.915039539370861,861.227864089049,0.04523879045400069,1001.7408908343226,1.3621465302334046,4302.98092938422,24.087325599429303,5774.547899353237,0.14573763182454247,6339.102171984579,0.00026202555725351605,461.7340627603541,0.038428527143853634,0.00010661275175052656,8.644927688314366e-05,0.6342118901326074,5.7152312235802665
814,0.0002450129928499882,44.15906523755024,10022.12859826818,0.10247730299238632,689.7895198160536,200.8035880564949,0.06600015036202572,1.0458876634202576,0.012104218155506545,37.33861251929943,0.0023460879183301387,1.2155241979079143,33.6395263686937,0.00045485153351810983,0.0003463150950448443,0.004894608073927789,0.5500929905666385
815,14.151806706797878,188.67912719405805,0.000146258224951049,268.17476095607094,0.5741451052797253,1099.8080988453085,25.017665142000126,111.27531532162187,0.5095543871322825,6610.194256259639,0.00013295232678926677,4178.056709669136,0.001013538127234168,0.000109328767529031,8.55134412868701e-05,2.282465988992324,21.744311825341672
816,169.7688932460369,293.77123532308633,0.06360997346025249,0.001823479631635595,8641.89745480204,1407.1982058908686,250.26884626590865,22.42088119904483,0.03880363094561547,70.13125947660245,0.00474317155361062,0.1818027657097935,426.11969496462024,0.02816017317701374,0.00014567988501528405,0.14891524494201663,0.06179209687174374
817,0.00017244548304929148,37.76175947671418,9701.781988399296,0.09531172504376453,498.08018160712214,277.6400678918287,0.07356683762833205,0.7950917092216419,0.010116775681757305,39.58841513937848,0.0019241327196555691,0.80096044689811,31.641825710962323,0.0003531371188200484,0.0003379987479908114,0.006629065872110597,0.44136168316162594
818,0.0001741144960654761,30.617413560335944,10897.298612084598,0.10212370690801585,831.7074091531799,203.4022140509305,0.08207998425912925,0.6107060055773716,0.01615274355734335,31.712190775231633,0.0025018499422554126,1.0463352262055476,41.754784014937826,0.0003014737059915539,0.00029864057602803563,0.00617904249385598,0.5252499199833787
819,9.109986688945443e-05,126.22017349916788,489.4836381110332,0.0021689262519525234,11.8782423076131,769.7062359430847,9.16974350497537e-05,92.37598526903265,1670.6427114714168,160.3738692652176,0.00476600600503361,0.07780604420594467,0.8794151883178386,0.00013128921457278877,0.0001250825422463253,7991.239843213649,0.727295381488231
820,0.04437582373637145,103.34151474530759,0.0001236558080745306,17.774462969784523,0.8629705293572633,405.15322901540077,0.06927378912919967,124.16002309930984,41.41909677341132,172.99231964323073,6.958447679349575e-05,303.36679901833605,9.838511130193628e-05,0.0018120120770081258,0.00011684728711795429,163.1703539054966,0.995016348493709
821,2.4559273275483138,1996.6292963535204,6201.466721174244,10809.67249875891,1.4603270605099046,12288.196660341939,4.754069385578611,1661.501542136972,77.25495986261225,8384.719559989962,9.507071771624559e-05,8512.023661096133,0.00045459657715874683,9.516529049485418e-05,8.379655455782674e-05,125.8809119350805,2.3383679321186803
822,0.0002380522601687786,39.99382824859954,9250.9336813984,0.07286995260640558,871.0886966171868,258.49085649993145,0.07942110723583698,0.7168957915868334,0.016581376522124353,50.967474117286145,0.0026966297116277,0.7734719890420374,27.58330809771305,0.0004014937640885667,0.0003205696697229725,0.005290852580202717,0.38264253882623367
